Hand,Hand Type,Optimal k,Optimal Win %,Alternative k,Alternative Win %,Deception Cost (Δ%)
Ac Jc Td Tc W,Three of a Kind,3,89.17,0,77.20,11.97
Ac Jc Td Tc W,Three of a Kind,3,89.17,1,86.63,2.54
Ac Jc Td Tc W,Three of a Kind,3,89.17,2,87.17,2.00
Ac Jc Td Tc W,Three of a Kind,3,89.17,4,86.97,2.20
Ac Jc Th Tc W,Three of a Kind,3,89.17,0,77.20,11.97
Ac Jc Th Tc W,Three of a Kind,3,89.17,1,86.63,2.54
Ac Jc Th Tc W,Three of a Kind,3,89.17,2,87.17,2.00
Ac Jc Th Tc W,Three of a Kind,3,89.17,4,86.97,2.20
Ac Jc Th Td Tc,Three of a Kind,2,66.72,0,51.85,14.87
Ac Jc Th Td Tc,Three of a Kind,2,66.72,1,63.88,2.84
Ac Jc Th Td Tc,Three of a Kind,2,66.72,3,44.41,22.31
Ac Jc Th Td Tc,Three of a Kind,2,66.72,4,52.15,14.57
Ac Jc Th Td Tc,Three of a Kind,2,66.72,5,49.61,17.11
Ac Jc Th Td W,Three of a Kind,3,89.19,0,77.20,11.99
Ac Jc Th Td W,Three of a Kind,3,89.19,1,85.36,3.83
Ac Jc Th Td W,Three of a Kind,3,89.19,2,87.33,1.86
Ac Jc Th Td W,Three of a Kind,3,89.19,4,86.95,2.24
Ac Jc Ts Tc W,Three of a Kind,3,89.17,0,77.20,11.97
Ac Jc Ts Tc W,Three of a Kind,3,89.17,1,86.63,2.54
Ac Jc Ts Tc W,Three of a Kind,3,89.17,2,87.17,2.00
Ac Jc Ts Tc W,Three of a Kind,3,89.17,4,86.97,2.20
Ac Jc Ts Td Tc,Three of a Kind,2,66.72,0,51.85,14.87
Ac Jc Ts Td Tc,Three of a Kind,2,66.72,1,63.88,2.84
Ac Jc Ts Td Tc,Three of a Kind,2,66.72,3,44.41,22.31
Ac Jc Ts Td Tc,Three of a Kind,2,66.72,4,52.15,14.57
Ac Jc Ts Td Tc,Three of a Kind,2,66.72,5,49.61,17.11
Ac Jc Ts Td W,Three of a Kind,3,89.19,0,77.20,11.99
Ac Jc Ts Td W,Three of a Kind,3,89.19,1,85.36,3.83
Ac Jc Ts Td W,Three of a Kind,3,89.19,2,87.33,1.86
Ac Jc Ts Td W,Three of a Kind,3,89.19,4,86.95,2.24
Ac Jc Ts Th Tc,Three of a Kind,2,66.72,0,51.85,14.87
Ac Jc Ts Th Tc,Three of a Kind,2,66.72,1,63.88,2.84
Ac Jc Ts Th Tc,Three of a Kind,2,66.72,3,44.41,22.31
Ac Jc Ts Th Tc,Three of a Kind,2,66.72,4,52.15,14.57
Ac Jc Ts Th Tc,Three of a Kind,2,66.72,5,49.61,17.11
Ac Jc Ts Th Td,Three of a Kind,2,66.74,0,51.85,14.89
Ac Jc Ts Th Td,Three of a Kind,2,66.74,1,63.91,2.83
Ac Jc Ts Th Td,Three of a Kind,2,66.74,3,44.46,22.28
Ac Jc Ts Th Td,Three of a Kind,2,66.74,4,52.16,14.58
Ac Jc Ts Th Td,Three of a Kind,2,66.74,5,49.61,17.13
Ac Jc Ts Th W,Three of a Kind,3,89.19,0,77.20,11.99
Ac Jc Ts Th W,Three of a Kind,3,89.19,1,85.36,3.83
Ac Jc Ts Th W,Three of a Kind,3,89.19,2,87.33,1.86
Ac Jc Ts Th W,Three of a Kind,3,89.19,4,86.95,2.24
Ac Jd Jc Tc W,Three of a Kind,3,89.20,0,78.62,10.58
Ac Jd Jc Tc W,Three of a Kind,3,89.20,1,86.84,2.36
Ac Jd Jc Tc W,Three of a Kind,3,89.20,2,87.28,1.92
Ac Jd Jc Tc W,Three of a Kind,3,89.20,4,87.05,2.15
Ac Jd Jc Td Tc,Two Pair,4,52.57,0,33.52,19.05
Ac Jd Jc Td Tc,Two Pair,4,52.57,1,51.55,1.02
Ac Jd Jc Td Tc,Two Pair,4,52.57,2,42.48,10.09
Ac Jd Jc Td Tc,Two Pair,4,52.57,3,45.85,6.72
Ac Jd Jc Td Tc,Two Pair,4,52.57,5,49.28,3.29
Ac Jd Jc Td W,Three of a Kind,3,89.22,0,78.62,10.60
Ac Jd Jc Td W,Three of a Kind,3,89.22,1,85.58,3.64
Ac Jd Jc Td W,Three of a Kind,3,89.22,2,87.45,1.77
Ac Jd Jc Td W,Three of a Kind,3,89.22,4,87.04,2.18
Ac Jd Jc Th Tc,Two Pair,4,52.58,0,33.52,19.06
Ac Jd Jc Th Tc,Two Pair,4,52.58,1,51.57,1.01
Ac Jd Jc Th Tc,Two Pair,4,52.58,2,42.49,10.09
Ac Jd Jc Th Tc,Two Pair,4,52.58,3,45.85,6.73
Ac Jd Jc Th Tc,Two Pair,4,52.58,5,49.27,3.31
Ac Jd Jc Th Td,Two Pair,4,52.59,0,33.52,19.07
Ac Jd Jc Th Td,Two Pair,4,52.59,1,51.58,1.01
Ac Jd Jc Th Td,Two Pair,4,52.59,2,42.49,10.10
Ac Jd Jc Th Td,Two Pair,4,52.59,3,45.86,6.73
Ac Jd Jc Th Td,Two Pair,4,52.59,5,49.27,3.32
Ac Jd Jc Th W,Three of a Kind,3,89.23,0,78.62,10.61
Ac Jd Jc Th W,Three of a Kind,3,89.23,1,85.58,3.65
Ac Jd Jc Th W,Three of a Kind,3,89.23,2,87.46,1.77
Ac Jd Jc Th W,Three of a Kind,3,89.23,4,87.03,2.20
Ac Jd Jc Ts Tc,Two Pair,4,52.58,0,33.52,19.06
Ac Jd Jc Ts Tc,Two Pair,4,52.58,1,51.57,1.01
Ac Jd Jc Ts Tc,Two Pair,4,52.58,2,42.49,10.09
Ac Jd Jc Ts Tc,Two Pair,4,52.58,3,45.85,6.73
Ac Jd Jc Ts Tc,Two Pair,4,52.58,5,49.27,3.31
Ac Jd Jc Ts Td,Two Pair,4,52.59,0,33.52,19.07
Ac Jd Jc Ts Td,Two Pair,4,52.59,1,51.58,1.01
Ac Jd Jc Ts Td,Two Pair,4,52.59,2,42.49,10.10
Ac Jd Jc Ts Td,Two Pair,4,52.59,3,45.86,6.73
Ac Jd Jc Ts Td,Two Pair,4,52.59,5,49.27,3.32
Ac Jd Jc Ts Th,Two Pair,4,52.59,0,33.52,19.07
Ac Jd Jc Ts Th,Two Pair,4,52.59,1,51.59,1.00
Ac Jd Jc Ts Th,Two Pair,4,52.59,2,42.50,10.09
Ac Jd Jc Ts Th,Two Pair,4,52.59,3,45.87,6.72
Ac Jd Jc Ts Th,Two Pair,4,52.59,5,49.26,3.33
Ac Jd Jc Ts W,Three of a Kind,3,89.23,0,78.62,10.61
Ac Jd Jc Ts W,Three of a Kind,3,89.23,1,85.58,3.65
Ac Jd Jc Ts W,Three of a Kind,3,89.23,2,87.46,1.77
Ac Jd Jc Ts W,Three of a Kind,3,89.23,4,87.03,2.20
Ac Jd Td Tc W,Three of a Kind,3,89.19,0,77.20,11.99
Ac Jd Td Tc W,Three of a Kind,3,89.19,1,85.36,3.83
Ac Jd Td Tc W,Three of a Kind,3,89.19,2,87.17,2.02
Ac Jd Td Tc W,Three of a Kind,3,89.19,4,86.97,2.22
Ac Jd Th Tc W,Three of a Kind,3,89.19,0,77.20,11.99
Ac Jd Th Tc W,Three of a Kind,3,89.19,1,85.36,3.83
Ac Jd Th Tc W,Three of a Kind,3,89.19,2,87.17,2.02
Ac Jd Th Tc W,Three of a Kind,3,89.19,4,86.95,2.24
Ac Jd Th Td Tc,Three of a Kind,2,66.73,0,51.85,14.88
Ac Jd Th Td Tc,Three of a Kind,2,66.73,1,63.89,2.84
Ac Jd Th Td Tc,Three of a Kind,2,66.73,3,44.39,22.34
Ac Jd Th Td Tc,Three of a Kind,2,66.73,4,52.15,14.58
Ac Jd Th Td Tc,Three of a Kind,2,66.73,5,49.61,17.12
Ac Jd Th Td W,Three of a Kind,3,89.24,0,77.20,12.04
Ac Jd Th Td W,Three of a Kind,3,89.24,1,85.36,3.88
Ac Jd Th Td W,Three of a Kind,3,89.24,2,87.09,2.15
Ac Jd Th Td W,Three of a Kind,3,89.24,4,86.95,2.29
Ac Jd Ts Tc W,Three of a Kind,3,89.19,0,77.20,11.99
Ac Jd Ts Tc W,Three of a Kind,3,89.19,1,85.36,3.83
Ac Jd Ts Tc W,Three of a Kind,3,89.19,2,87.17,2.02
Ac Jd Ts Tc W,Three of a Kind,3,89.19,4,86.95,2.24
Ac Jd Ts Td Tc,Three of a Kind,2,66.73,0,51.85,14.88
Ac Jd Ts Td Tc,Three of a Kind,2,66.73,1,63.89,2.84
Ac Jd Ts Td Tc,Three of a Kind,2,66.73,3,44.39,22.34
Ac Jd Ts Td Tc,Three of a Kind,2,66.73,4,52.15,14.58
Ac Jd Ts Td Tc,Three of a Kind,2,66.73,5,49.61,17.12
Ac Jd Ts Td W,Three of a Kind,3,89.24,0,77.20,12.04
Ac Jd Ts Td W,Three of a Kind,3,89.24,1,85.36,3.88
Ac Jd Ts Td W,Three of a Kind,3,89.24,2,87.09,2.15
Ac Jd Ts Td W,Three of a Kind,3,89.24,4,86.95,2.29
Ac Jd Ts Th Tc,Three of a Kind,2,66.75,0,51.85,14.90
Ac Jd Ts Th Tc,Three of a Kind,2,66.75,1,63.91,2.84
Ac Jd Ts Th Tc,Three of a Kind,2,66.75,3,44.40,22.35
Ac Jd Ts Th Tc,Three of a Kind,2,66.75,4,52.16,14.59
Ac Jd Ts Th Tc,Three of a Kind,2,66.75,5,49.61,17.14
Ac Jd Ts Th Td,Three of a Kind,2,66.75,0,51.85,14.90
Ac Jd Ts Th Td,Three of a Kind,2,66.75,1,63.91,2.84
Ac Jd Ts Th Td,Three of a Kind,2,66.75,3,44.40,22.35
Ac Jd Ts Th Td,Three of a Kind,2,66.75,4,52.18,14.57
Ac Jd Ts Th Td,Three of a Kind,2,66.75,5,49.61,17.14
Ac Jd Ts Th W,Three of a Kind,3,89.24,0,77.20,12.04
Ac Jd Ts Th W,Three of a Kind,3,89.24,1,85.36,3.88
Ac Jd Ts Th W,Three of a Kind,3,89.24,2,87.10,2.14
Ac Jd Ts Th W,Three of a Kind,3,89.24,4,86.94,2.30
Ac Jh Jc Tc W,Three of a Kind,3,89.20,0,78.62,10.58
Ac Jh Jc Tc W,Three of a Kind,3,89.20,1,86.84,2.36
Ac Jh Jc Tc W,Three of a Kind,3,89.20,2,87.28,1.92
Ac Jh Jc Tc W,Three of a Kind,3,89.20,4,87.05,2.15
Ac Jh Jc Td Tc,Two Pair,4,52.58,0,33.52,19.06
Ac Jh Jc Td Tc,Two Pair,4,52.58,1,51.57,1.01
Ac Jh Jc Td Tc,Two Pair,4,52.58,2,42.49,10.09
Ac Jh Jc Td Tc,Two Pair,4,52.58,3,45.85,6.73
Ac Jh Jc Td Tc,Two Pair,4,52.58,5,49.27,3.31
Ac Jh Jc Td W,Three of a Kind,3,89.23,0,78.62,10.61
Ac Jh Jc Td W,Three of a Kind,3,89.23,1,85.58,3.65
Ac Jh Jc Td W,Three of a Kind,3,89.23,2,87.46,1.77
Ac Jh Jc Td W,Three of a Kind,3,89.23,4,87.03,2.20
Ac Jh Jc Th Tc,Two Pair,4,52.57,0,33.52,19.05
Ac Jh Jc Th Tc,Two Pair,4,52.57,1,51.55,1.02
Ac Jh Jc Th Tc,Two Pair,4,52.57,2,42.48,10.09
Ac Jh Jc Th Tc,Two Pair,4,52.57,3,45.85,6.72
Ac Jh Jc Th Tc,Two Pair,4,52.57,5,49.28,3.29
Ac Jh Jc Th Td,Two Pair,4,52.59,0,33.52,19.07
Ac Jh Jc Th Td,Two Pair,4,52.59,1,51.58,1.01
Ac Jh Jc Th Td,Two Pair,4,52.59,2,42.49,10.10
Ac Jh Jc Th Td,Two Pair,4,52.59,3,45.86,6.73
Ac Jh Jc Th Td,Two Pair,4,52.59,5,49.27,3.32
Ac Jh Jc Th W,Three of a Kind,3,89.22,0,78.62,10.60
Ac Jh Jc Th W,Three of a Kind,3,89.22,1,85.58,3.64
Ac Jh Jc Th W,Three of a Kind,3,89.22,2,87.45,1.77
Ac Jh Jc Th W,Three of a Kind,3,89.22,4,87.04,2.18
Ac Jh Jc Ts Tc,Two Pair,4,52.58,0,33.52,19.06
Ac Jh Jc Ts Tc,Two Pair,4,52.58,1,51.57,1.01
Ac Jh Jc Ts Tc,Two Pair,4,52.58,2,42.49,10.09
Ac Jh Jc Ts Tc,Two Pair,4,52.58,3,45.85,6.73
Ac Jh Jc Ts Tc,Two Pair,4,52.58,5,49.27,3.31
Ac Jh Jc Ts Td,Two Pair,4,52.59,0,33.52,19.07
Ac Jh Jc Ts Td,Two Pair,4,52.59,1,51.59,1.00
Ac Jh Jc Ts Td,Two Pair,4,52.59,2,42.50,10.09
