Hand,Hand Type,k,Raw EV (Win %),Opponent Pool Size,Opponent Hands,Entropy (bits),Info Gain vs k=0 (bits),Certainty %,Ambiguity %
Ac Jc Td Tc W,Three of a Kind,0,77.20,16,4368,1.851,0.000,0.0,0.0
Ac Jc Td Tc W,Three of a Kind,1,85.10,15,3003,1.847,0.004,50.0,0.0
Ac Jc Td Tc W,Three of a Kind,2,85.76,14,2002,1.841,0.010,65.6,0.0
Ac Jc Td Tc W,Three of a Kind,3,86.18,13,1287,1.830,0.021,69.6,0.0
Ac Jc Td Tc W,Three of a Kind,4,86.97,12,792,1.815,0.036,79.7,0.0
Ac Jc Th Tc W,Three of a Kind,0,77.20,16,4368,1.851,0.000,0.0,0.0
Ac Jc Th Tc W,Three of a Kind,1,85.10,15,3003,1.847,0.004,50.0,0.0
Ac Jc Th Tc W,Three of a Kind,2,85.76,14,2002,1.841,0.010,65.6,0.0
Ac Jc Th Tc W,Three of a Kind,3,86.18,13,1287,1.830,0.021,69.6,0.0
Ac Jc Th Tc W,Three of a Kind,4,86.97,12,792,1.815,0.036,79.7,0.0
Ac Jc Th Td Tc,Three of a Kind,0,51.85,16,4368,2.258,0.000,0.0,100.0
Ac Jc Th Td Tc,Three of a Kind,1,38.62,15,3003,2.241,0.017,42.5,42.5
Ac Jc Th Td Tc,Three of a Kind,2,37.49,14,2002,2.220,0.038,46.7,24.3
Ac Jc Th Td Tc,Three of a Kind,3,38.92,13,1287,2.193,0.065,45.1,14.3
Ac Jc Th Td Tc,Three of a Kind,4,43.89,12,792,2.160,0.098,50.1,8.1
Ac Jc Th Td Tc,Three of a Kind,5,49.61,11,462,2.115,0.142,55.9,7.3
Ac Jc Th Td W,Three of a Kind,0,77.20,16,4368,1.849,0.000,0.0,0.0
Ac Jc Th Td W,Three of a Kind,1,84.79,15,3003,1.845,0.004,50.0,0.0
Ac Jc Th Td W,Three of a Kind,2,85.76,14,2002,1.839,0.010,65.6,0.0
Ac Jc Th Td W,Three of a Kind,3,86.21,13,1287,1.829,0.021,69.6,0.0
Ac Jc Th Td W,Three of a Kind,4,86.95,12,792,1.813,0.036,79.7,0.0
Ac Jc Ts Tc W,Three of a Kind,0,77.20,16,4368,1.851,0.000,0.0,0.0
