Hand,Hand Type,Pre-Discard Win %,Optimal Discard,Optimal Win %,Delta %,P(Improve),Risk Ratio,Verdict
Ac Ks Kh Kd W,Four of a Kind,100.00,—,100.00,0.00,0.00,—,Keep
Ad Ks Kh Kc W,Four of a Kind,100.00,—,100.00,0.00,0.00,—,Keep
Ah Ad Ac Js W,Four of a Kind,100.00,—,100.00,0.00,0.00,—,Keep
Ah Ad Ac Ks W,Four of a Kind,100.00,—,100.00,0.00,0.00,—,Keep
Ah Ad Ac Qs W,Four of a Kind,100.00,—,100.00,0.00,0.00,—,Keep
Ah Ad Ac Ts W,Four of a Kind,100.00,—,100.00,0.00,0.00,—,Keep
Ah Ks Kd Kc W,Four of a Kind,100.00,—,100.00,0.00,0.00,—,Keep
As Ad Ac Jh W,Four of a Kind,100.00,—,100.00,0.00,0.00,—,Keep
As Ad Ac Kh W,Four of a Kind,100.00,—,100.00,0.00,0.00,—,Keep
As Ad Ac Qh W,Four of a Kind,100.00,—,100.00,0.00,0.00,—,Keep
As Ad Ac Th W,Four of a Kind,100.00,—,100.00,0.00,0.00,—,Keep
As Ah Ac Jd W,Four of a Kind,100.00,—,100.00,0.00,0.00,—,Keep
As Ah Ac Kd W,Four of a Kind,100.00,—,100.00,0.00,0.00,—,Keep
As Ah Ac Qd W,Four of a Kind,100.00,—,100.00,0.00,0.00,—,Keep
As Ah Ac Td W,Four of a Kind,100.00,—,100.00,0.00,0.00,—,Keep
As Ah Ad Ac W,Five of a Kind,100.00,—,100.00,0.00,0.00,—,Keep
As Ah Ad Jc W,Four of a Kind,100.00,—,100.00,0.00,0.00,—,Keep
As Ah Ad Kc W,Four of a Kind,100.00,—,100.00,0.00,0.00,—,Keep
As Ah Ad Qc W,Four of a Kind,100.00,—,100.00,0.00,0.00,—,Keep
As Ah Ad Tc W,Four of a Kind,100.00,—,100.00,0.00,0.00,—,Keep
As Kh Kd Kc W,Four of a Kind,100.00,—,100.00,0.00,0.00,—,Keep
Js Jh Jd Jc W,Five of a Kind,100.00,—,100.00,0.00,0.00,—,Keep
Ks Kh Kd Kc W,Five of a Kind,100.00,—,100.00,0.00,0.00,—,Keep
Qs Qh Qd Qc W,Five of a Kind,100.00,—,100.00,0.00,0.00,—,Keep
Ts Th Td Tc W,Five of a Kind,100.00,—,100.00,0.00,0.00,—,Keep
Ac Kh Kd Kc W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
Ac Ks Kd Kc W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
Ac Ks Kh Kc W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
Ad Kh Kd Kc W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
Ad Ks Kd Kc W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
Ad Ks Kh Kd W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
Ah Ad Ac Jc W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
Ah Ad Ac Jd W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
Ah Ad Ac Jh W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
Ah Ad Ac Kc W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
Ah Ad Ac Kd W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
Ah Ad Ac Kh W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
Ah Ad Ac Qc W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
Ah Ad Ac Qd W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
Ah Ad Ac Qh W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
