Your Hand,Your Hand Type,Opponent k,Naive Win %,Bayesian Win %,Δ (Bayes − Naive) %,P(Opp Stronger) %,Most Likely Opp Type
Ac Jc Td Tc W,Three of a Kind,0,77.20,81.20,4.01,18.80,Pair
Ac Jc Td Tc W,Three of a Kind,1,77.20,82.59,5.40,17.41,Pair
Ac Jc Td Tc W,Three of a Kind,2,77.20,82.76,5.57,17.24,Pair
Ac Jc Td Tc W,Three of a Kind,3,77.20,87.68,10.48,12.32,Pair
Ac Jc Td Tc W,Three of a Kind,4,77.20,81.72,4.53,18.28,Pair
Ac Jc Td Tc W,Three of a Kind,5,77.20,77.20,0.00,22.80,Pair
Ac Jc Th Tc W,Three of a Kind,0,77.20,81.20,4.01,18.80,Pair
Ac Jc Th Tc W,Three of a Kind,1,77.20,82.59,5.40,17.41,Pair
Ac Jc Th Tc W,Three of a Kind,2,77.20,82.76,5.57,17.24,Pair
Ac Jc Th Tc W,Three of a Kind,3,77.20,87.68,10.48,12.32,Pair
Ac Jc Th Tc W,Three of a Kind,4,77.20,81.72,4.53,18.28,Pair
Ac Jc Th Tc W,Three of a Kind,5,77.20,77.20,0.00,22.80,Pair
Ac Jc Th Td Tc,Three of a Kind,0,51.85,57.95,6.09,42.05,Pair
Ac Jc Th Td Tc,Three of a Kind,1,51.85,58.81,6.95,41.19,Pair
Ac Jc Th Td Tc,Three of a Kind,2,51.85,58.14,6.29,41.86,Pair
Ac Jc Th Td Tc,Three of a Kind,3,51.85,65.87,14.02,34.13,Pair
Ac Jc Th Td Tc,Three of a Kind,4,51.85,60.03,8.17,39.97,Pair
Ac Jc Th Td Tc,Three of a Kind,5,51.85,51.85,0.00,48.15,Pair
Ac Jc Th Td W,Three of a Kind,0,77.20,81.19,3.99,18.81,Pair
Ac Jc Th Td W,Three of a Kind,1,77.20,82.61,5.42,17.39,Pair
Ac Jc Th Td W,Three of a Kind,2,77.20,82.78,5.59,17.22,Pair
Ac Jc Th Td W,Three of a Kind,3,77.20,87.73,10.53,12.27,Pair
Ac Jc Th Td W,Three of a Kind,4,77.20,81.72,4.53,18.28,Pair
Ac Jc Th Td W,Three of a Kind,5,77.20,77.20,0.00,22.80,Pair
Ac Jc Ts Tc W,Three of a Kind,0,77.20,81.20,4.01,18.80,Pair
Ac Jc Ts Tc W,Three of a Kind,1,77.20,82.59,5.40,17.41,Pair
Ac Jc Ts Tc W,Three of a Kind,2,77.20,82.76,5.57,17.24,Pair
Ac Jc Ts Tc W,Three of a Kind,3,77.20,87.68,10.48,12.32,Pair
Ac Jc Ts Tc W,Three of a Kind,4,77.20,81.72,4.53,18.28,Pair
Ac Jc Ts Tc W,Three of a Kind,5,77.20,77.20,0.00,22.80,Pair
Ac Jc Ts Td Tc,Three of a Kind,0,51.85,57.95,6.09,42.05,Pair
Ac Jc Ts Td Tc,Three of a Kind,1,51.85,58.81,6.95,41.19,Pair
Ac Jc Ts Td Tc,Three of a Kind,2,51.85,58.14,6.29,41.86,Pair
Ac Jc Ts Td Tc,Three of a Kind,3,51.85,65.87,14.02,34.13,Pair
Ac Jc Ts Td Tc,Three of a Kind,4,51.85,60.03,8.17,39.97,Pair
Ac Jc Ts Td Tc,Three of a Kind,5,51.85,51.85,0.00,48.15,Pair
Ac Jc Ts Td W,Three of a Kind,0,77.20,81.19,3.99,18.81,Pair
Ac Jc Ts Td W,Three of a Kind,1,77.20,82.61,5.42,17.39,Pair
Ac Jc Ts Td W,Three of a Kind,2,77.20,82.78,5.59,17.22,Pair
Ac Jc Ts Td W,Three of a Kind,3,77.20,87.73,10.53,12.27,Pair
Ac Jc Ts Td W,Three of a Kind,4,77.20,81.72,4.53,18.28,Pair
Ac Jc Ts Td W,Three of a Kind,5,77.20,77.20,0.00,22.80,Pair
Ac Jc Ts Th Tc,Three of a Kind,0,51.85,57.95,6.09,42.05,Pair
Ac Jc Ts Th Tc,Three of a Kind,1,51.85,58.81,6.95,41.19,Pair
Ac Jc Ts Th Tc,Three of a Kind,2,51.85,58.14,6.29,41.86,Pair
