Opponent k,Hand Type,Count,P(Hand Type | k) %,Avg Pre-Discard Win %,Avg Post-Discard Win %,P(Strong | k) %,P(Weak | k) %,Entropy (bits)
0,Five of a Kind,5,0.17,100.00,100.00,,,
0,Royal Flush,24,0.80,99.87,99.87,,,
0,Four of a Kind,100,3.34,99.95,99.95,,,
0,Full House,840,28.03,94.71,94.71,,,
0,Straight,2028,67.67,85.07,85.07,,,
0,[ALL k=0],2997,100.00,88.41,88.41,100.00,0.00,1.130
1,Four of a Kind,300,7.65,98.98,99.03,,,
1,Straight,24,0.61,89.84,90.10,,,
1,Two Pair,3600,91.74,42.43,58.22,,,
1,[ALL k=1],3924,100.00,47.05,61.54,8.26,91.74,0.443
2,Straight,120,2.97,89.84,89.95,,,
2,Three of a Kind,3924,97.03,76.22,84.09,,,
2,[ALL k=2],4044,100.00,76.63,84.27,2.97,97.03,0.193
3,Straight,108,1.90,89.84,89.89,,,
3,Three of a Kind,780,13.71,78.59,88.72,,,
3,Two Pair,576,10.13,47.15,61.56,,,
3,Pair,4224,74.26,26.30,58.67,,,
3,[ALL k=3],5688,100.00,36.79,63.68,1.90,98.10,1.155
4,Three of a Kind,96,2.60,77.20,86.16,,,
4,Two Pair,144,3.90,33.52,52.59,,,
4,Pair,3456,93.51,6.32,52.09,,,
4,[ALL k=4],3696,100.00,9.22,53.00,0.00,100.00,0.410
